date,open,high,low,close
2017-03-17,6543.557,6555.579,6480.291,6483.246
2017-03-20,6484.54,6498.566,6451.354,6498.342
2017-03-21,6494.773,6516.01,6484.687,6515.946
2017-03-22,6486.301,6514.629,6459.975,6499.793
2017-03-23,6502.127,6533.652,6445.811,6512.187
2017-03-24,6509.233,6552.748,6500.066,6546.615
2017-03-27,6545.446,6555.794,6510.44,6516.033
2017-03-28,6509.038,6519.086,6483.64,6498.69
2017-03-29,6504.246,6522.512,6461.536,6480.543
2017-03-30,6467.063,6471.935,6369.12,6375.744
2017-03-31,6374.565,6402.218,6365.447,6401.648
2017-04-05,6450.896,6539.967,6450.896,6539.967
2017-04-06,6554.745,6569.702,6535.038,6559.653
2017-04-07,6554.257,6593.949,6544.236,6578.726
2017-04-10,6575.46,6595.199,6556.078,6566.544
2017-04-11,6566.84,6631.996,6531.531,6629.166
2017-04-12,6625.88,6626.761,6571.476,6576.476
2017-04-13,6569.24,6627.702,6562.762,6615.704
2017-04-14,6623.454,6623.801,6522.791,6528.162
2017-04-17,6500.949,6502.036,6426.28,6456.598
2017-04-18,6452.918,6491.808,6416.172,6418.211
2017-04-19,6390.331,6401.411,6285.99,6350.647
2017-04-20,6349.408,6377.8,6299.894,6347.773
2017-04-21,6345.771,6364.674,6296.81,6300.713
2017-04-24,6282.331,6282.74,6137.92,6138.505
2017-04-25,6139.484,6203.682,6131.951,6160.461
2017-04-26,6159.893,6195.325,6157.399,6176.398
2017-04-27,6157.518,6205.229,6052.881,6192.304
2017-04-28,6174.142,6214.162,6166.798,6211.862
2017-05-02,6205.101,6216.495,6186.168,6216.115
2017-05-03,6205.682,6225.627,6174.692,6197.478
2017-05-04,6180.029,6236.887,6151.809,6176.305
2017-05-05,6155.197,6164.246,6089.091,6089.683
2017-05-08,6076.458,6083.362,5975.221,5975.54
2017-05-09,5953.839,6012.443,5919.599,6012.002
2017-05-10,6010.73,6038.973,5885.521,5885.841
2017-05-11,5856.415,5873.906,5731.483,5872.639
2017-05-12,5859.337,5889.93,5820.294,5863.783
2017-05-15,5880.696,5912.266,5880.696,5893.508
2017-05-16,5882.33,6014.881,5839.22,6014.734
2017-05-17,6006.469,6055.918,6001.039,6027.65
2017-05-18,5983.35,6030.109,5965.35,5976.3
2017-05-19,5973.768,5990.435,5942.61,5974.977
2017-05-22,5962.286,5987.307,5873.041,5888.813
2017-05-23,5879.559,5893.816,5760.325,5764.876
2017-05-24,5740.443,5799.683,5668.722,5799.25
2017-05-25,5788.557,5859.502,5740.799,5850.801
2017-05-26,5843.521,5871.214,5833.088,5836.934
2017-05-31,5887.941,5913.184,5820.206,5824.104
2017-06-01,5810.419,5810.599,5709.689,5709.999
2017-06-02,5696.829,5780.502,5655.762,5772.517
2017-06-05,5778.189,5830.053,5777.951,5815.802
2017-06-06,5808.972,5841.88,5793.437,5841.523
2017-06-07,5838.881,5955.024,5836.441,5955.015
2017-06-08,5947.975,5972.728,5940.724,5958.977
2017-06-09,5952.406,5971.525,5922.729,5969.274
2017-06-12,5943.644,5950.043,5896.405,5902.855
2017-06-13,5895.469,5986.869,5894.225,5980.057
