product,view_date,contract,expire,dpv_truth_pts,v0_pts,v1_pts,v2_pts,v0_err,v1_err,v2_err,announced_coverage
IC,2025-02-28,IC202503,2025-03-21,0.14,0.14,0.14,0.14,0.0,0.0,0.0,1.0
IC,2025-02-28,IC202504,2025-04-18,1.65,1.65,1.65,1.65,0.0,0.0,0.0,1.0
IC,2025-02-28,IC202506,2025-06-20,42.16,41.64,40.37,43.41,-0.52,-1.79,1.25,0.024
IC,2025-02-28,IC202509,2025-09-19,71.4,73.98,71.66,84.14,2.57,0.26,12.73,0.014
IC,2025-03-31,IC202504,2025-04-18,0.96,0.96,0.96,0.96,0.0,0.0,0.0,1.0
IC,2025-03-31,IC202505,2025-05-16,4.95,4.81,4.81,4.73,-0.14,-0.14,-0.22,0.759
IC,2025-03-31,IC202506,2025-06-20,41.46,41.51,40.52,42.28,0.05,-0.94,0.82,0.32
IC,2025-03-31,IC202509,2025-09-19,70.69,73.49,71.69,81.6,2.8,1.0,10.91,0.262
IC,2025-04-30,IC202505,2025-05-16,2.59,2.59,2.59,2.59,0.0,0.0,0.0,1.0
IC,2025-04-30,IC202506,2025-06-20,37.68,37.68,37.68,37.68,0.0,0.0,0.0,1.0
IC,2025-04-30,IC202506,2025-06-20,37.68,37.68,37.68,37.68,0.0,0.0,0.0,1.0
IC,2025-04-30,IC202509,2025-09-19,65.79,66.89,66.84,73.48,1.1,1.05,7.69,0.941
IC,2025-05-30,IC202506,2025-06-20,23.64,23.64,23.64,23.64,0.0,0.0,0.0,1.0
IC,2025-05-30,IC202507,2025-07-18,41.24,41.24,41.24,41.24,0.0,0.0,0.0,1.0
IC,2025-05-30,IC202509,2025-09-19,51.94,53.04,53.0,59.68,1.11,1.06,7.74,0.924
IC,2025-05-30,IC202512,2025-12-19,61.46,69.84,70.06,77.82,8.39,8.61,16.36,0.675
IC,2025-06-30,IC202507,2025-07-18,12.22,12.22,12.22,12.22,0.0,0.0,0.0,1.0
IC,2025-06-30,IC202508,2025-08-15,18.94,18.94,18.94,18.94,0.0,0.0,0.0,1.0
IC,2025-06-30,IC202509,2025-09-19,23.37,24.53,24.48,31.45,1.15,1.11,8.08,0.83
IC,2025-06-30,IC202512,2025-12-19,33.3,42.05,42.28,50.37,8.75,8.98,17.07,0.455
IC,2025-07-31,IC202508,2025-08-15,3.31,3.31,3.31,3.31,0.0,0.0,0.0,1.0
IC,2025-07-31,IC202509,2025-09-19,7.98,9.19,9.14,16.48,1.21,1.16,8.5,0.519
IC,2025-07-31,IC202509,2025-09-19,7.98,9.19,9.14,16.48,1.21,1.16,8.5,0.519
IC,2025-07-31,IC202512,2025-12-19,18.43,27.64,27.88,36.39,9.21,9.45,17.96,0.156
IC,2025-08-29,IC202509,2025-09-19,3.21,3.22,3.21,3.19,0.02,0.0,-0.01,0.917
IC,2025-08-29,IC202510,2025-10-17,8.06,8.87,8.7,8.69,0.81,0.64,0.63,0.882
IC,2025-08-29,IC202512,2025-12-19,15.03,18.46,18.3,18.12,3.44,3.28,3.09,0.724
IC,2025-08-29,IC202603,2026-03-20,17.75,23.01,22.73,22.71,5.27,4.98,4.96,0.641
IC,2025-09-30,IC202510,2025-10-17,1.84,1.84,1.84,1.84,0.0,0.0,0.0,1.0
IC,2025-09-30,IC202511,2025-11-21,6.61,6.7,6.69,6.78,0.09,0.07,0.17,0.956
IC,2025-09-30,IC202512,2025-12-19,9.18,11.28,11.21,10.98,2.1,2.03,1.8,0.779
IC,2025-09-30,IC202603,2026-03-20,12.04,15.67,15.56,15.69,3.63,3.52,3.65,0.658
IC,2025-10-31,IC202511,2025-11-21,1.9,1.9,1.9,1.9,0.0,0.0,0.0,1.0
IC,2025-10-31,IC202512,2025-12-19,4.44,4.44,4.44,4.44,0.0,0.0,0.0,1.0
IC,2025-10-31,IC202512,2025-12-19,4.44,4.44,4.44,4.44,0.0,0.0,0.0,1.0
IC,2025-10-31,IC202603,2026-03-20,7.27,7.27,7.27,7.27,0.0,0.0,0.0,1.0
IC,2025-11-28,IC202512,2025-12-19,1.87,1.87,1.87,1.87,0.0,0.0,0.0,1.0
IC,2025-11-28,IC202601,2026-01-16,2.98,2.98,2.98,2.98,0.0,0.0,0.0,1.0
IC,2025-11-28,IC202603,2026-03-20,4.59,4.59,4.59,4.59,0.0,0.0,0.0,1.0
IC,2025-11-28,IC202606,2026-06-19,39.18,42.0,42.05,44.74,2.81,2.87,5.56,0.164
IC,2025-12-31,IC202601,2026-01-16,0.59,0.59,0.59,0.59,0.0,0.0,0.0,1.0
IC,2025-12-31,IC202602,2026-02-20,2.24,2.24,2.24,2.24,0.0,0.0,0.0,1.0
IC,2025-12-31,IC202603,2026-03-20,2.3,2.3,2.3,2.3,0.0,0.0,0.0,1.0
IC,2025-12-31,IC202606,2026-06-19,39.03,42.02,42.08,44.93,2.99,3.05,5.9,0.07
IM,2024-06-28,IM202407,2024-07-19,11.15,11.15,11.15,11.15,0.0,0.0,0.0,1.0
IM,2024-06-28,IM202408,2024-08-16,14.89,14.89,14.89,14.89,0.0,0.0,0.0,0.995
IM,2024-06-28,IM202409,2024-09-20,17.4,17.64,17.6,17.76,0.24,0.19,0.36,0.88
IM,2024-06-28,IM202412,2024-12-20,24.04,28.7,28.45,30.15,4.66,4.4,6.11,0.552
IM,2024-07-31,IM202408,2024-08-16,1.46,1.46,1.46,1.46,0.0,0.0,0.0,1.0
IM,2024-07-31,IM202409,2024-09-20,3.97,4.2,4.15,4.28,0.22,0.17,0.31,0.571
IM,2024-07-31,IM202409,2024-09-20,3.97,4.2,4.15,4.28,0.22,0.17,0.31,0.571
IM,2024-07-31,IM202412,2024-12-20,10.6,15.18,14.92,16.62,4.57,4.32,6.01,0.175
IM,2024-08-30,IM202409,2024-09-20,1.57,1.57,1.57,1.57,0.0,0.0,0.0,1.0
IM,2024-08-30,IM202410,2024-10-18,4.79,4.84,4.85,4.82,0.05,0.06,0.03,0.978
IM,2024-08-30,IM202412,2024-12-20,7.85,9.13,8.93,10.54,1.28,1.08,2.68,0.76
IM,2024-08-30,IM202503,2025-03-21,9.45,12.49,12.3,14.52,3.03,2.84,5.06,0.615
IM,2024-09-30,IM202410,2024-10-18,2.33,2.33,2.33,2.33,0.0,0.0,0.0,1.0
IM,2024-09-30,IM202411,2024-11-15,4.78,4.95,4.92,4.97,0.17,0.14,0.18,0.939
IM,2024-09-30,IM202412,2024-12-20,6.11,7.33,7.12,8.76,1.22,1.01,2.65,0.713
IM,2024-09-30,IM202503,2025-03-21,8.08,11.46,11.27,13.67,3.38,3.19,5.59,0.531
IM,2024-10-31,IM202411,2024-11-15,1.37,1.37,1.37,1.37,0.0,0.0,0.0,1.0
IM,2024-10-31,IM202412,2024-12-20,2.79,2.79,2.79,2.79,0.0,0.0,0.0,1.0
