date,product,role,contract,expire,spot,future,basis_raw,dpv_pts,basis_adj,annualized_rate,announced_ratio
2015-07-28,IC,q1,IC1509,2015-09-18,7649.82,6939.0,-710.8199999999997,1.4761650959116304,-709.3438349040881,-65.08712717322665,0.9893570936288
2015-07-28,IC,q2,IC1512,2015-12-18,7649.82,6649.0,-1000.8199999999997,2.118012009195729,-998.701987990804,-33.32280295316272,0.6895401927215637
2015-07-29,IC,current,IC1508,2015-08-21,8022.796,7702.8,-319.9960000000001,1.4369939399275977,-318.5590060600725,-63.0128563939264,1.0
2015-07-29,IC,next,IC1509,2015-09-18,8022.796,7419.2,-603.5960000000005,1.5481372668663373,-602.0478627331341,-53.70663693256896,0.9893570936288
2015-07-29,IC,q1,IC1509,2015-09-18,8022.796,7419.2,-603.5960000000005,1.5481372668663373,-602.0478627331341,-53.70663693256896,0.9893570936288
2015-07-29,IC,q2,IC1512,2015-12-18,8022.796,7111.2,-911.5960000000005,2.221278183712487,-909.374721816288,-29.135444524677734,0.6895401927215637
2015-07-30,IC,current,IC1508,2015-08-21,7800.58,7232.0,-568.5799999999999,1.3971919749574113,-567.1828080250425,-120.6330606938205,1.0
2015-07-30,IC,next,IC1509,2015-09-18,7800.58,6948.2,-852.3800000000001,1.5052568457645206,-850.8747431542356,-79.62722803978576,0.9893570936288
2015-07-30,IC,q1,IC1509,2015-09-18,7800.58,6948.2,-852.3800000000001,1.5052568457645206,-850.8747431542356,-79.62722803978576,0.9893570936288
2015-07-30,IC,q2,IC1512,2015-12-18,7800.58,6658.6,-1141.9799999999996,2.1597530554564703,-1139.820246944543,-37.825373390107266,0.6895401927215637
2015-07-31,IC,current,IC1508,2015-08-21,7727.061,7399.0,-328.0609999999997,1.3840237032639098,-326.6769762967358,-73.48145651971784,1.0
2015-07-31,IC,next,IC1509,2015-09-18,7727.061,7100.0,-627.0609999999997,1.4910700829797325,-625.56992991702,-60.305692438802005,0.9893570936288
2015-07-31,IC,q1,IC1509,2015-09-18,7727.061,7100.0,-627.0609999999997,1.4910700829797325,-625.56992991702,-60.305692438802005,0.9893570936288
2015-07-31,IC,q2,IC1512,2015-12-18,7727.061,6780.6,-946.4609999999993,2.165377806018473,-944.2956221939809,-31.86093116689913,0.7281340009188381
2015-08-03,IC,current,IC1508,2015-08-21,7540.205,7065.2,-475.0050000000001,1.3505552042968276,-473.6544447957033,-127.37928975437649,1.0
2015-08-03,IC,next,IC1509,2015-09-18,7540.205,6767.4,-772.8050000000003,1.4550129855366996,-771.3499870144636,-81.17145969081719,0.9893570936288
