product,view_date,contract,expire,dpv_truth_pts,announced_coverage,固定股息率_pts,固定股息率_err,固定分红_pts,固定分红_err,固定派息率_pts,固定派息率_err,派息率x季报EPS_pts,派息率x季报EPS_err
IC,2024-06-28,IC202407,2024-07-19,15.71,1.0,15.71,0.0,15.71,0.0,15.71,0.0,15.71,0.0
IC,2024-06-28,IC202408,2024-08-16,22.93,1.0,22.93,0.0,22.93,0.0,22.93,0.0,22.93,0.0
IC,2024-06-28,IC202409,2024-09-20,26.72,0.936,27.23,0.51,26.94,0.22,27.06,0.34,27.06,0.34
IC,2024-06-28,IC202412,2024-12-20,37.88,0.603,49.79,11.91,48.9,11.02,50.25,12.37,50.25,12.37
IC,2024-07-31,IC202408,2024-08-16,3.11,1.0,3.11,0.0,3.11,0.0,3.11,0.0,3.11,0.0
IC,2024-07-31,IC202409,2024-09-20,5.84,0.753,6.49,0.65,6.17,0.32,6.34,0.49,6.34,0.49
IC,2024-07-31,IC202409,2024-09-20,5.84,0.753,6.49,0.65,6.17,0.32,6.34,0.49,6.34,0.49
IC,2024-07-31,IC202412,2024-12-20,15.92,0.247,25.69,9.77,24.82,8.9,25.79,9.87,25.79,9.87
IC,2024-08-30,IC202409,2024-09-20,2.01,1.0,2.01,0.0,2.01,0.0,2.01,0.0,2.01,0.0
IC,2024-08-30,IC202410,2024-10-18,6.61,0.955,6.62,0.01,6.68,0.06,6.77,0.15,6.77,0.15
IC,2024-08-30,IC202412,2024-12-20,11.58,0.733,15.29,3.71,14.63,3.05,14.72,3.14,14.72,3.14
IC,2024-08-30,IC202503,2025-03-21,15.05,0.616,20.87,5.83,20.76,5.72,20.76,5.71,20.76,5.71
IC,2024-09-30,IC202410,2024-10-18,3.83,1.0,3.83,0.0,3.83,0.0,3.83,0.0,3.83,0.0
IC,2024-09-30,IC202411,2024-11-15,6.04,0.982,6.15,0.11,6.05,0.01,6.35,0.31,6.35,0.31
IC,2024-09-30,IC202412,2024-12-20,9.99,0.746,12.56,2.57,11.47,1.48,12.17,2.18,12.17,2.18
IC,2024-09-30,IC202503,2025-03-21,14.2,0.605,19.41,5.22,19.02,4.82,19.65,5.45,19.65,5.45
IC,2024-10-31,IC202411,2024-11-15,0.86,1.0,0.86,0.0,0.86,0.0,0.86,0.0,0.86,0.0
IC,2024-10-31,IC202412,2024-12-20,4.61,1.0,4.61,0.0,4.61,0.0,4.61,0.0,4.61,0.0
IC,2024-10-31,IC202412,2024-12-20,4.61,1.0,4.61,0.0,4.61,0.0,4.61,0.0,4.61,0.0
IC,2024-10-31,IC202503,2025-03-21,8.65,1.0,8.65,0.0,8.65,0.0,8.65,0.0,8.65,0.0
IC,2024-11-29,IC202412,2024-12-20,2.24,1.0,2.24,0.0,2.24,0.0,2.24,0.0,2.24,0.0
IC,2024-11-29,IC202501,2025-01-17,3.34,1.0,3.34,0.0,3.34,0.0,3.34,0.0,3.34,0.0
IC,2024-11-29,IC202503,2025-03-21,6.24,1.0,6.24,0.0,6.24,0.0,6.24,0.0,6.24,0.0
IC,2024-11-29,IC202506,2025-06-20,56.15,0.146,54.4,-1.75,57.72,1.56,52.22,-3.93,52.22,-3.93
IC,2024-12-31,IC202501,2025-01-17,0.48,1.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0
IC,2024-12-31,IC202502,2025-02-21,2.45,1.0,2.45,0.0,2.45,0.0,2.45,0.0,2.45,0.0
IC,2024-12-31,IC202503,2025-03-21,2.66,1.0,2.66,0.0,2.66,0.0,2.66,0.0,2.66,0.0
IC,2024-12-31,IC202506,2025-06-20,50.53,0.078,49.08,-1.45,52.71,2.18,46.13,-4.4,46.13,-4.4
IC,2025-01-27,IC202502,2025-02-21,0.13,1.0,0.13,0.0,0.13,0.0,0.13,0.0,0.13,0.0
IC,2025-01-27,IC202503,2025-03-21,0.33,1.0,0.33,0.0,0.33,0.0,0.33,0.0,0.33,0.0
IC,2025-01-27,IC202503,2025-03-21,0.33,1.0,0.33,0.0,0.33,0.0,0.33,0.0,0.33,0.0
IC,2025-01-27,IC202506,2025-06-20,47.07,0.011,45.65,-1.41,49.2,2.13,42.77,-4.29,42.77,-4.29
IC,2025-02-28,IC202503,2025-03-21,0.19,1.0,0.19,0.0,0.19,0.0,0.19,0.0,0.19,0.0
