product,view_date,contract,expire,dpv_forecast_pts,dpv_truth_pts,err_pts,err_pct,announced_coverage
IC,2025-04-30,IC202506,2025-06-20,37.68,37.68,0.0,0.0,1.0
IC,2025-04-30,IC202506,2025-06-20,37.68,37.68,0.0,0.0,1.0
IC,2025-04-30,IC202509,2025-09-19,66.89,65.79,1.1,1.7,0.941
IC,2025-05-30,IC202506,2025-06-20,23.64,23.64,0.0,0.0,1.0
IC,2025-05-30,IC202507,2025-07-18,41.24,41.24,0.0,0.0,1.0
IC,2025-05-30,IC202509,2025-09-19,53.04,51.94,1.11,2.1,0.924
IC,2025-05-30,IC202512,2025-12-19,69.84,61.46,8.39,13.6,0.675
IC,2025-06-30,IC202507,2025-07-18,12.22,12.22,0.0,0.0,1.0
IC,2025-06-30,IC202508,2025-08-15,18.94,18.94,0.0,0.0,1.0
IC,2025-06-30,IC202509,2025-09-19,24.53,23.37,1.15,4.9,0.83
IC,2025-06-30,IC202512,2025-12-19,42.05,33.3,8.75,26.3,0.455
IC,2025-07-31,IC202508,2025-08-15,3.31,3.31,0.0,,1.0
IC,2025-07-31,IC202509,2025-09-19,9.19,7.98,1.21,15.2,0.519
IC,2025-07-31,IC202509,2025-09-19,9.19,7.98,1.21,15.2,0.519
IC,2025-07-31,IC202512,2025-12-19,27.64,18.43,9.21,50.0,0.156
IC,2025-08-29,IC202509,2025-09-19,3.22,3.21,0.02,,0.917
IC,2025-08-29,IC202510,2025-10-17,8.87,8.06,0.81,10.1,0.882
IC,2025-08-29,IC202512,2025-12-19,18.46,15.03,3.44,22.9,0.724
IC,2025-08-29,IC202603,2026-03-20,23.01,17.75,5.27,29.7,0.641
IC,2025-09-30,IC202510,2025-10-17,1.84,1.84,0.0,,1.0
IC,2025-09-30,IC202511,2025-11-21,6.7,6.61,0.09,1.4,0.956
IC,2025-09-30,IC202512,2025-12-19,11.28,9.18,2.1,22.9,0.779
IC,2025-09-30,IC202603,2026-03-20,15.67,12.04,3.63,30.1,0.658
IC,2025-10-31,IC202511,2025-11-21,1.9,1.9,0.0,,1.0
IC,2025-10-31,IC202512,2025-12-19,4.44,4.44,0.0,,1.0
IC,2025-10-31,IC202512,2025-12-19,4.44,4.44,0.0,,1.0
IC,2025-10-31,IC202603,2026-03-20,7.27,7.27,0.0,0.0,1.0
IC,2025-11-28,IC202512,2025-12-19,1.87,1.87,0.0,,1.0
IC,2025-11-28,IC202601,2026-01-16,2.98,2.98,0.0,,1.0
IC,2025-11-28,IC202603,2026-03-20,4.59,4.59,0.0,,1.0
IC,2025-11-28,IC202606,2026-06-19,42.0,39.18,2.81,7.2,0.164
IC,2025-12-31,IC202601,2026-01-16,0.59,0.59,0.0,,1.0
IC,2025-12-31,IC202602,2026-02-20,2.24,2.24,0.0,,1.0
IC,2025-12-31,IC202603,2026-03-20,2.3,2.3,0.0,,1.0
IC,2025-12-31,IC202606,2026-06-19,42.02,39.03,2.99,7.7,0.07
IM,2024-06-28,IM202407,2024-07-19,11.15,11.15,0.0,0.0,1.0
IM,2024-06-28,IM202408,2024-08-16,14.89,14.89,0.0,0.0,0.995
IM,2024-06-28,IM202409,2024-09-20,17.64,17.4,0.24,1.4,0.88
IM,2024-06-28,IM202412,2024-12-20,28.7,24.04,4.66,19.4,0.552
IM,2024-07-31,IM202408,2024-08-16,1.46,1.46,0.0,,1.0
IM,2024-07-31,IM202409,2024-09-20,4.2,3.97,0.22,,0.571
IM,2024-07-31,IM202409,2024-09-20,4.2,3.97,0.22,,0.571
IM,2024-07-31,IM202412,2024-12-20,15.18,10.6,4.57,43.1,0.175
IM,2024-08-30,IM202409,2024-09-20,1.57,1.57,0.0,,1.0
IM,2024-08-30,IM202410,2024-10-18,4.84,4.79,0.05,,0.978
IM,2024-08-30,IM202412,2024-12-20,9.13,7.85,1.28,16.3,0.76
IM,2024-08-30,IM202503,2025-03-21,12.49,9.45,3.03,32.1,0.615
IM,2024-09-30,IM202410,2024-10-18,2.33,2.33,0.0,,1.0
IM,2024-09-30,IM202411,2024-11-15,4.95,4.78,0.17,,0.939
IM,2024-09-30,IM202412,2024-12-20,7.33,6.11,1.22,19.9,0.713
